focus_r,base_modulus,base_residue,sample_n,d,a,b,x,y,z,verified,rule_modulus,rule_prime_factors,sample_satisfies_visible_conditions,source,why_not_closed_earlier
289,116124688680,67898430889,67898430889,63,8,244,16974607738,576274615183238809541,18894249678138977362,True,488,2;61,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,116124688680,74998603969,74998603969,63,1,251,18749651008,5624790602023814603008,22409524310851851008,True,1004,2;251,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116124688680,82292770849,82292770849,31,32,92,20573192720,211628129267409377410,73609784093011957360,True,736,2;23,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116124688680,88927358809,88927358809,71,124,160,22231839720,63774799605310261080,49425469694115452337,True,4960,2;5;31,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116124688680,95639544289,95639544289,23,39,53,23909886078,234536472666853898312,172583442151081170456,True,8268,2;3;13;53,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116124688680,102972509929,102972509929,119,172,304,25743127512,61647312868207745736,34879400701749119298,True,13072,2;19;43,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116124688680,109801091689,109801091689,11,15,29,27450272925,803751982486933125420,415733784044965409700,True,1740,2;3;5;29,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,580623443400,372856684489,372856684489,191,216,548,93214171170,643620866848820925595,253689976714133795490,True,29592,2;3;137,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,41903381809,41903381809,55,2,218,10475845466,877946704667759055988,8054556923557422532,True,436,2;109,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,957514598040,709746437689,709746437689,71,48,236,177436609440,10494583455471199098680,2134491550265328630240,True,2832,2;3;59,True,recursive_failure_diagnostics,same_rule_modulus_visible_but_only_partial_remainder
289,957514598040,295220485849,295220485849,19,14,62,73805121467,6225366805037771320138,1405727988234335459386,True,868,2;7;31,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,837898741969,837898741969,75,13,287,209474685511,54005715527390403664972,2446251922843467761828,True,14924,2;7;13;41,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,589974665569,589974665569,11,1,43,147493666395,348070106019743115415020,8094653628366118963140,True,172,2;43,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,591604213489,591604213489,11,1,43,147901053375,349995545424445935901500,8139431288940603160500,True,172,2;43,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,884573650249,884573650249,19,14,62,221143412567,55890753052260505508338,12620492624703985114786,True,868,2;7;31,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,844222939849,844222939849,35,27,113,211055734971,26396754525808743519908,6307189134485275000332,True,12204,2;3;113,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,512726334409,512726334409,47,2,186,128181583614,131444147010293917548252,1413377924841870081164,True,372,2;3;31,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,847210444369,847210444369,47,24,164,211802611104,29906897378655722278896,4376619128583764235936,True,984,2;3;41,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,765888243409,765888243409,23,3,89,191472060858,195528267136579687179896,6590840465277966983592,True,1068,2;3;89,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,957514598040,392721769729,392721769729,59,69,167,98180442447,2235223020902149060108,923535260133223264356,True,46092,2;3;23;167,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,685691206489,685691206489,15,1,59,171422801626,470172430666625803804456,7969024248586878030584,True,236,2;59,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,21107246449,21107246449,11,3,41,5276811615,148505284297000940180,10866240314414702940,True,492,2;3;41,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,230930940529,230930940529,35,18,122,57732735141,2962727738982839873242,437123764767959981298,True,2196,2;3;61,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,856754939329,856754939329,19,14,62,214188734837,52430644720065486772678,11839177840014787335766,True,868,2;7;31,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,25569103849,25569103849,119,32,444,6392275992,20430596083864686651,1472475393431689128,True,3552,2;3;37,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,651897486529,651897486529,23,6,86,162974371638,70828388826303563109668,4941515499509550914628,True,516,2;3;43,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,112284332449,112284332449,47,24,164,28071083124,525323804949788248446,76876654382895841236,True,984,2;3;41,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,72321609649,72321609649,63,4,248,18080402428,1307603806694647827772,21090383978945932706,True,248,2;31,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,957514598040,947932025329,947932025329,63,4,248,236983006348,224643781176014903788492,3623286793161530706266,True,248,2;31,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,957514598040,699581162569,699581162569,55,92,128,174895290656,5319715250650767071968,3823545336405238832977,True,2944,2;23,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,409444035289,409444035289,51,2,202,102361008835,83822209027310761556630,829922861656542193630,True,404,2;101,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,957514598040,285675990889,285675990889,47,24,164,71418997734,3400448824326615940921,497626657218529162086,True,984,2;3;41,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,957514598040,453480627889,453480627889,51,10,194,113370156985,20564467989372919661866,1060024123163552559890,True,1940,2;5;97,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,957514598040,496663647769,496663647769,87,4,344,124165911964,61668694764604759008316,717077846100055337306,True,344,2;43,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,957514598040,623225202889,623225202889,59,74,162,155806300737,5248779102064939201578,2397590454029663585906,True,11988,2;3;37,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116667871320,1048527769,1048527769,171,1,683,262131985,1099410661662365860,1609678860413420,True,2732,2;683,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116667871320,7605518209,7605518209,23,39,53,1901379558,1483177112880961192,1091394479289763896,True,8268,2;3;13;53,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116667871320,14201307409,14201307409,11,1,43,3550326855,201677132281132674780,4690165867003085460,True,172,2;43,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116667871320,20680700329,20680700329,23,39,53,5170175088,10966445296757867072,8069648425916166336,True,8268,2;3;13;53,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116667871320,27198892009,27198892009,95,4,376,6799723026,184944932275284699234,1967499279524305311,True,376,2;47,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116667871320,33561888649,33561888649,47,4,184,8390472174,281600092816320952926,6121741148180890281,True,184,2;23,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,116667871320,40080080329,40080080329,15,2,58,10020020086,803206419890146976588,27696773099660240572,True,116,2;29,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,116667871320,46753467049,46753467049,31,2,122,11688366770,1092943341275643123460,17917103955338411860,True,244,2;61,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,116667871320,53310457489,53310457489,23,18,74,13327614378,157889159939589817076,38405471336656982532,True,1332,2;3;37,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116667871320,59789850409,59789850409,11,15,29,14947462605,238321747505885721452,123269869399596062820,True,1740,2;3;5;29,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,116667871320,66385639609,66385639609,71,8,276,16596409920,550881643876176260640,15967583880468877120,True,552,2;3;23,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,116667871320,72942630049,72942630049,23,13,79,18235657518,409279021549458325656,67349712406872889032,True,4108,2;13;79,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,116667871320,79616016769,79616016769,19,2,74,19904004197,3169355063837196758986,85658244968572885378,True,148,2;37,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116667871320,86173007209,86173007209,23,6,86,21543251808,1237631195570724189248,86346362481678431808,True,516,2;3;43,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116667871320,92846393929,92846393929,23,6,86,23211598488,1436742144625752519568,100237824043657152528,True,516,2;3;43,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116667871320,99364585609,99364585609,11,15,29,24841146405,658221391622753356172,340459340494527598020,True,1740,2;3;5;29,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,116667871320,105843978529,105843978529,31,2,122,26460994640,5601473897064288169120,91827440935480133920,True,244,2;61,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,116667871320,112206975169,112206975169,111,1,443,28051743820,12590405289031556822320,28420779433479812240,True,1772,2;443,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,933342970560,357065949529,357065949529,23,3,89,89266487388,42498697440419630720336,1432540363160212271472,True,1068,2;3;89,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,350003613960,145263518689,145263518689,19,29,47,36315879677,727637581540326177028,448967869461052321996,True,5452,2;29;47,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,466671485280,51836104609,51836104609,31,32,92,12959026160,83968179457565946430,29206323289588155280,True,736,2;23,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,350003613960,188136148489,188136148489,23,23,69,47034037128,1538922190113138626016,512974063371046208672,True,276,2;3;23,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,466671485280,326065740289,326065740289,15,1,59,81516435076,106318866995104583907856,1802014694832281083184,True,236,2;59,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,311711689,311711689,31,8,116,77927930,12145523340286885,837622299330130,True,232,2;29,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,6403117009,6403117009,63,16,236,1600779268,2562494239646342353,173728423026870668,True,944,2;59,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,188523174840,12184132249,12184132249,139,2,554,3046033097,74226540177358090306,267965849015733178,True,1108,2;277,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,18042745009,18042745009,11,15,29,4510686255,21702709843884307012,11225539574422917420,True,1740,2;3;5;29,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,188523174840,23862559009,23862559009,47,14,174,5965639764,40672980255681952536,3272538641261766296,True,2436,2;3;7;29,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,29953964329,29953964329,19,2,74,7488491087,448619989796064871246,12124864589082834358,True,148,2;37,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,36122967169,36122967169,11,3,41,9030741795,434956252496668171140,31826067255853768620,True,492,2;3;41,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,41942781169,41942781169,31,8,116,10485695300,219899611686355902850,15165490461127993300,True,232,2;29,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,47762595169,47762595169,187,2,746,11940648839,1140632753104693717582,3057996657117141334,True,1492,2;373,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,53621207929,53621207929,11,3,41,13405301985,958411313451628585420,70127657081826481860,True,492,2;3;41,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,59596216969,59596216969,83,6,326,14899054263,591951513660434925898,10894813134854630538,True,1956,2;3;163,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,65299634689,65299634689,11,15,29,16324908675,284269486082343207220,147035941077074072700,True,1740,2;3;5;29,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,188523174840,71274643729,71274643729,15,2,58,17818660936,2540037419882499340688,87587497237327563472,True,116,2;29,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,188523174840,77016860209,77016860209,35,1,139,19254215061,5931596759148237630996,42673357979483723964,True,556,2;139,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,188523174840,83185863049,83185863049,11,3,41,20796465765,2306629270707342689980,168777751515171416340,True,492,2;3;41,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,89122073329,89122073329,15,1,59,22280518336,7942743955796484242176,134622778911804817664,True,236,2;59,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,95135881129,95135881129,71,6,278,23783970300,1508472647490977645800,32556963614913186600,True,1668,2;3;139,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,101421280249,101421280249,35,6,134,25355320071,1714379348482657051786,76763254409671211274,True,804,2;3;67,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,107163496729,107163496729,35,2,138,26790874191,5742007517468558042478,83217500253167507862,True,276,2;3;23,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,113099707009,113099707009,91,50,314,28274926775,255830874716274341278,40737400432527761350,True,15700,2;5;157,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,119035917289,119035917289,23,39,53,29758979328,363321784809525005312,267349992595688211456,True,8268,2;3;13;53,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,124894530049,124894530049,31,32,92,31223632520,487457613751009199185,169550474348177112760,True,736,2;23,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,130636746529,130636746529,35,6,134,32659186641,2844326591375746612726,127357907076525967734,True,804,2;3;67,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,136495359289,136495359289,103,206,206,34123839848,90441665638311750448,90441665638311750448,True,412,2;103,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,142353972049,142353972049,47,2,186,35588493024,10132326682409054972352,108949749273215644864,True,372,2;3;31,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,148212584809,148212584809,35,2,138,37053146211,10983485150476229017398,159180944209800420542,True,276,2;3;23,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,153877203769,153877203769,35,53,87,38469300951,446758374436831130892,272163147645425861348,True,18444,2;3;29;53,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,160007407849,160007407849,47,14,174,40001851974,1828740755291183926836,147140060770555028596,True,2436,2;3;7;29,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,165982416889,165982416889,51,10,194,41495604235,2755016272477889569966,142011148065870596390,True,1940,2;5;97,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,188523174840,171918627169,171918627169,39,8,148,42979656802,3694501796797306426769,199702799826881428474,True,296,2;37,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,177777239929,177777239929,47,7,181,44444309994,4514963863589823171672,174611862127783216584,True,5068,2;7;181,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,188523174840,183558255169,183558255169,19,2,74,45889563797,16846816522087661033386,455319365461828676578,True,148,2;37,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,565569524520,193878725329,193878725329,31,2,122,48469681340,18794480070604033321720,308106230665639890520,True,244,2;61,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,565569524520,222240618889,222240618889,11,3,41,55560154725,16463630895536796800700,1204655919185619278100,True,492,2;3;41,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,565569524520,250292122369,250292122369,47,4,184,62573030604,15661536632935549980876,340468187672511956106,True,184,2;23,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,565569524520,91993181569,91993181569,35,2,138,22998295401,4231372729203381328338,61324242452222917802,True,276,2;3;23,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,565569524520,307326299569,307326299569,19,14,62,76831574897,6746389600900994948398,1523378296977644020606,True,868,2;7;31,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,565569524520,532436705089,532436705089,11,3,41,133109176275,94496281643962520751300,6914362071509452737900,True,492,2;3;41,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,377046349680,184761016729,184761016729,47,9,179,46190254194,3792959256824176182856,190707448667137349976,True,6444,2;3;179,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,51757545840,8110382569,8110382569,11,3,41,2027595645,21926101834917749340,1604348914750079220,True,492,2;3;41,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
